premise	hypothesis	premise_atomic	hypothesis_atomic	label
Popoldne so med poostrenim nadzorom prometa v Suhorju pri Novem mestu ustavili 39-letnega voznika osebnega avta iz Brezja, ki je napihal 1,49 promila.	Na Dolenjskem so ustavili štiridesetletnega avtomobilista, ki je krepko pregloboko pogledal v kozarec.	PersonX pije eno noč želel poskusiti piti	PersonX naleti na črno ledeno ploskev da prevzamete nadzor nad vozilom.	entailment
»In jaz sem mislila, da si ti normalna.«	Sem verjela, da si povsem običajna.	PersonX meni, da je bilo smešno normalno	PersonX meni, da je bilo smešno normalno	entailment
Nato drsel po cesti čez oba vozna pasova na nasprotno stran, kjer je trčil v betonsko ograjo.	Z osebnim avtomobilom je po izgubi nadzora na spolzkem cestišču trčil ob ograjo iz betona.	osebek teče čez cesto da se pred prečkanjem ozrete v obe smeri.	osebek se odpelje domov ob z avtomobilom trči v drevo.	neutral
Z licem je udaril v volan in si ga porezal.	Kljub temu da se je butnil v volan, njegov sicer porezani obraz ni utrpel hujših poškodb.	osebek skoči v avto se udarja v glavo.	obraz udari poškodovani v obraz	neutral
Direktorja sklada imenuje in razrešuje upravni odbor s soglasjem Izvršnega sveta Skupščine Republike Slovenije za dobo štirih let.	Izvršni svet Skupščine RS nima nobenega vpliva na izbiro primernega kandidata za delovno mesto direktorja sklada.	PersonX je star štiri leta srečno	svet se odloči kandidirati za predsednika za zbiranje sredstev	contradiction
Prosim, da ponovno ugotovimo prisotnost v dvorani in da jo vsi potrdite, ki sedite v dvorani!	Vse, ki ste v tem trenutku navzoči v dvorani, prosim, da svojo prisotnost še enkrat potrdite.	vsi prosi dvorani, da ponovi drugič poslušati, da bi se prepričali, da jo bodo tokrat slišali.	Vse prosi dvorani, da ponovi drugič poslušati, da bi se prepričali, da jo bodo tokrat slišali.	entailment
Uprava za notranje zadeve Novo mesto prosi občane, ki bi kar koli vedeli o pogrešanih mladoletnicah, da o tem obvestijo policiste na telefonsko številko 92 oz. 113.	Eden od uradov občine v Novem mestu je javno objavil poziv, da morebitne informacije o pogrešanih deklicah mlajših od 18 let zadržijo zase in v nobenem primeru z nikomer ne delijo.	PersonX sprašuje mojo mamo nekaj vedeti	informacije ne želi, da bi kdo vedel nič	contradiction
A kot boš nekoč, ko boš starejša, sama ugotovila sama, mora življenje iti naprej.	Jaz ti lahko že zdaj povem, da mora življenje iti naprej, ti pa boš potrebovala še nekaj časa, da to spoznaš.	osebek umre tako, kot je živela postati zelo star.	ti ima da jim poveste, kako si želijo, da bi se stvari odvijale. že več let	entailment
»Kaj pa tako gledaš?« sem jo naposled vprašala.	Ni se znala brigati zase, zato sem ji rekla, naj neha tako gledati.	osebek je takoj videla se spraševati, kaj je to bilo.	osebek ni preveč pozorna da bi se od nje oddaljili.	neutral
Organizator prav tako ni odgovoren za prijave, ki so nepopolne ali niso bile prejete, ter za (ne)resničnost podatkov, ki jih posredujejo sodelujoči.	Poleg tega organizator prevzema odgovornost za pomanjkljive prijave ter morebitne napačne podatke, prejete s strani sodelujočih.	sodelujoči tudi ne ve sodelujoči ne zna odgovoriti na vprašanja	PersonX prevzame odgovornost prevzeti odgovornost za napako nekoga drugega.	contradiction
Za bolj zdravo in krepko rast dodamo še tekoči naravni vitaminski kompleks bio plantella vita.	Da bo rast čila in čvrsta, priložimo še utekočinjene vitamine v obliki bio plantella vita.	osebek izboljša zdravje rast nadaljevanje	rast da dobi vitamine in zelenjavo.	entailment
Psiholog, pedagog in socialni delavec so na šoli pomočniki učencev, učiteljev in staršev	Poklici v šolstvu služijo v dobro učencem, njihovim staršem ter drugim učiteljem.	pomočniki je učitelj v šoli učiti otroke	Poklici v šole Učitelji morajo učiti otroke.	neutral
Nikdar v življenju nisem srečal nikogar, ki bi ti bil enak.	Kamor koli se obrnem, vidim ljudi, ki bi te lahko nadomestili.	osebek še nikoli ni srečala nikoli ne sreča nekoga.	PersonX spreminja poiščite več ljudi, na katere lahko vplivate. ljudi	contradiction
Zaželena je univerzitetna visokošolska izobrazba na področju računalniške programske opreme ali gradbeništva.	Najprimernejši so kandidati z zgolj osnovnošolsko ali srednješolsko izobrazbo brez znanj s področja računalništva in gradbeništva.	izobrazba diplomira na fakulteti se prijavite za delovno mesto računalniškega tehnika.	kandidati je pravkar končala srednjo šolo pametni	contradiction
Očitno je bila po mnenju kužka to kaplja čez rob, zato je pritisnil svojo tačko na petelina in ustrelil lastnika.	Kuža ni več mogel zdržati, brez nadzora je skočil na pištolo in nenamerno ustrelil svojega lastnika.	to najde lastnike petelina ga poliže njegov pes	PersonX ni dovolj hiter Kuža ni mogla doseči šefa	neutral
“Moja žena boluje za kostnim rakom, operacija stane dobre dva milijona tolarjev“	“Z ženo potrebujeva 2.000.000 tolarjev, da pokrijeva strošek operacije, saj je zbolela za kostnim rakom.“	operacija ima zlomljeno nogo iti k zdravniku	osebek stane rakom dolarjev rakom mora plačati stroške	entailment
To ustavno sodišče v takšnih primerih ne zavrne predlagateljevega oziroma pobudnikovega zahtevka, pač pa ugotovi, da izpodbijana določba ni v neskladju z ustavo.	Na tem ustavnem sodišču brez dodatnega ugotavljanja skladnosti z Ustavo RS zavrnejo vse zahtevke.	določba dokaže, da se neskladju moti prijava pritožbe	osebek ugotavljanja odvzame privesti ugotavljanja pred sodišče. brez postopka	contradiction
Noče me razumeti,' si je obupano rekla.	Zajelo jo je spoznanje, da se kljub vsemu trudu ne želi postaviti v njeno kožo.	osebek je takoj vprašala ne razumeti	spoznanje pove, da kožo ni želela spoštovati njegova čustva.	neutral
Ne za dolgo, oči so se mu zapirale in ni vedel, kdaj je zaspal.	Ne da bi se zares zavedal, je odplaval in začel glasno vleči dreto.	oči je pozno ponoči Njihove oči postanejo bolj ozko odprte	osebek je takoj stekla ven da bi videli, kaj je bil glasen hrup.	neutral
Delovno razmerje se sklepa za polni delovni čas, za določen čas enega leta (povečan obseg dela), s 5-mesečnim poskusnim delom.	Delovno razmerje se sklene za polovični delovni čas ter za nedoločen čas z zmanjšanim obsegom dela in brez poskusne dobe.	razmerje vadi delavni en mesec	razmerje ima službo s polnim delovnim časom delati s krajšim delovnim časom	contradiction
Varovalna živila imajo predpisano hranilno in energijsko vrednost, vsebujejo malo soli in sladkorja, malo nasičenih maščob in holesterola ter veliko vlaknin.	Zdravstveno neoporečna živila imajo predpisane nizke vrednosti hranil in kalorij, sol, sladkor, nasičene maščobe in holesterol so v majhnih količinih, vlaknin je več.	živila živila pridobi hranila in kalorije	vlaknin se prehranjuje pravilno za znižanje holesterola	entailment
Oče Tony Richardson je umrl leta 1991 za posledicami aidsa, z ženo pa sta se ločila, ko je imela hčerka štiri leta.	Hči Tonyja Richardsona je očeta izgubila pri 4 letih, kmalu po tem, ko sta se z mamo ločila.	PersonX je star tri leta se roditi	PersonX se je nedavno preselil da bi se odselili od staršev.	contradiction
To ne pomeni, da bi kar koli rad od tebe.	To nič ne pomeni, saj od tebe ne želim ničesar.	To meni, da bi želela nič	nič ne reče ničesar ne želi govoriti	entailment
Morska voda v Jadranskem morju vsebuje 3,5 % soli, do 3 % je natrijevega klorida.	Jadransko morje ima sladko vodo, zato ne vsebuje soli in čistega NaCl.	klorida plava v oceanu biti na plaži	morje napolni do brezplačnega in prijetnega z vodo	contradiction
Pristojni organ imenuje delavskega direktorja z večino glasov prisotnih članov.	Če delavci nekomu namenijo vsaj dvotretjinsko večino glasov, je izbran za direktorja.	PersonX takoj zaposli povabilo izbranim kandidatom.	PersonX ne more biti izvoljen dogcatcher da se kvalificirate za vsaj minimalno	neutral
Lahko se dogovorimo, kaj bomo gledali, in se potem o tem tudi pogovorimo.	Bolje je, če se en sam odloči za vse nas, kaj bomo gledali, potem pa se lahko o tem pogovorimo.	osebek pove tem stvari načrtovati, da se boste z tem pogovarjali pozneje.	sam se odloči iti sama uživati v filmu, ne da bi se s kom pogovarjali.	contradiction
Veliko majhnih organskih molekul je tudi vir energije, ki se sprosti ob njihovem razcepu in preoblikovanju v druge majhne molekule v celičnih presnovnih pretvorbah ( celica kot energijski sistem).	Vir energije za organizem so lahko le velike anorganske molekule.	molekul poje nekaj hrane telo prebavlja hrano in odstranjuje odpadke.	PersonX ima veliko energije nič	contradiction
»Jaz sem kriv!« se je uprl Uroš.	Uroš se ni strinjal: “To je moja krivda!“	Uroš se počuti odgovorno narediti napako	To se približa predmet To ni bila moja krivda.	entailment
»Mislim, da je bolje, da tole jaz obdržim.	“Tole kar vzemi, bo tako najbolje.“	jaz prikliče da mislim, da je to najboljše.	osebek postane najboljša nekaj doseči	contradiction
Če je omaka preveč gosta, dodamo še malo tople juhe.	Kadar v zosu žlica kar stoji, prilijemo še malo vroče juhe.	omaka doda nekaj smetane dodajte nekaj posipa na smetano	žlica zavre vodo postavite vroč lonec na štedilnik.	entailment
V eni roki je držal telefonsko slušalko, v drugi na strel pripravljeno pištolo.	Z levo roko je zagrabil telefonsko slušalko, v desni pa mu je počivala nabita pištola.	osebek ima v roki dvignil sveženj in ga dal v drugo roko.	pištola ujame nepravilno žogo ob tem si je poškodoval roko.	neutral
»In čemu nisva tega storila že pred odhodom?«	Vprašal ga je, zakaj pol ure po odhodu naloga še vedno ji opravljena.	osebek je odšla pred iti domov leti	naloga zamuja v službo eno uro ugotoviti, zakaj je naloga zamudila.	neutral
Z ukazom View, Design View jo vrnemo v prikaz Design.	Že želimo pred seboj imeti prikaz Design, poiščemo ukaz Design View.	osebek jo vidi v očeh prikaz vrniti pogled	osebek lahko vidi seboj želi gledati	entailment
Jack se je usedel za svojo pisalno mizo in s prsti tapljal po naslonjalu stola.	Na stolu ob pisalni mizi je sedel Jack, ki je tapkal s prsti po njegovem naslonjalu.	Jack sedi za mizo naslonjalu sedite na stol in se pomaknite do mize.	Jack skače naokoli se je udaril s prstom na nogi ob mizo.	entailment
»Projekt je del programa Ljubljana – svetovna prestolnica knjige 2010«	Ta stvar je del dogodka v Ljubljani z imenom svetovna prestolnica knjige 2010.	Projekt sodeluje v projektu predmet biti celota	PersonX vključuje to knjigo 's povezuje knjigo z nečim.	entailment
Banano, slive, sladkor, cimet in 1 lonček jogurta zmiksamo.	V pecivo se nikoli ne daje mešanica iz cimeta, jogurta in sladkorja.	osebek meša jabolka in pomaranče jih posujemo s sladkorjem.	mešanica nikoli ni uporabljala GET SUFFER	contradiction
Pogosto se mi zgodi, da začutim, da sem prešibak.	Neredko se dogaja, da občutim svojo nemoč.	osebek se je pogosto počutila doživljate enake stvari.	osebek se je pogosto počutila doživljate enake stvari.	entailment
Leta 2008 je Matej Stare zasedel šesto, Jure Kocjan pa osmo mesto v skupnem seštevku.	V izjemnem letu 2008 sta si Matej Stare in Jure Kocjan privozila stopničke v skupnem seštevku.	Jure je dijak srednje šole končati 8. razred	Matej fotografira letu narediti dobro fotografijo	contradiction
To sem storil samo zato, da se ognemo policiji.	To sem napravil, da se izognemo gneči na cesti, pa tudi policijski kontroli.	osebek da pokličete policijo.	osebek se pelje po ulici ustavila ga je policija.	contradiction
Nacionalni znak skladnosti s SIST se uporablja v skladu s pravili, ki jih določi upravni odbor.	V povezavi s skladnostjo s SIST obstaja znak nacionalne ravni, ki se ravna po določenih pravilih.	Kadrovska zakonodaja ureja uporaba tarif med državami.	Kadrovska zakonodaja ureja sledenje pošiljkam med državami.	neutral
Odstop začne veljati šest mesecev po tem, ko je depozitar prejel listino o odstopu.	Odstop je veljaven takoj po vloženi resignaciji.	PersonX se ta teden upokojuje predložitev vloge za upokojitev kadrovski službi.	Odstop odide z delovnega mesta vloži odstopno izjavo.	contradiction
Ne vem, kaj mi je bilo, ampak bila sem tako rekoč ganjena.	Raznežila me je že sama misel na to, čeprav sem ponavadi jaz tista, ki je najbolj hladna.	kaj ne ve, kaj je bilo narobe meni, da je kaj neumna.	jaz prikliče da mislim, da je to najboljše.	neutral
Želela bi, da se po dolgih letih zopet srečamo.	Zadnjič smo šli skupaj ven, zato se zdaj nekaj časa ne bomo dobivali.	osebek se več let videva z letih srečno	osebek je zadnji dan časa da bi imeli več skupnih dni.	contradiction
“Prav, če hočeš,“ je ustrežljivo rekla Irena.	Irena se ni strinjala: “Tvoje želje ne morem upoštevati.“	Irena naredi, kar je želela predmet brez strahu	Irena ne želi iti ignorirati njihove zahteve.	contradiction
Organ je prosilčevi zahtevi za dostop deloma ugodil, v preostalem delu pa mu je dostop do informacij zavrnil.	Institucija je prosilcu deloma odobrila zahtevo, da dostopa do podatkov, kar se tiče ostalega, pa mu je dostop do podatkov odklonila.	Organ omejuje uporabo delu zavrne njegovo prošnjo.	kar prosi predmet, naj ji dovoli pridobiti nekaj informacij	entailment
Vsi na odru so se hihitali in fant je zardel.	Nastopajoči so se glasno krohotali, zato ga je bilo sram.	fant naredi grozen hrup vsi se smejijo.	Nastopajoči zasliši glasen pok skočili, ker so se prestrašili.	contradiction
Ob 80-letnici delovanja PGD Velike Bloke bo potekala slavnostna proslava s prevzemom novega gasilskega vozila GVC 24/50, na kateri bo zbrane nagovorila ministrica za obrambo dr. Ljubica Jelušič.	Osemdeset let funkcioniranja Požarno-gasilskega društva Velike Bloke bodo počastili s slovesno prireditvijo, na kateri bodo sprejeli novo glasilsko vozilo, govor bo imela Ljubica Jelušič z Ministrstva za obrambo.	ministrica praznuje rojstni dan kateri uživali v darilih, ki so jih prejeli.	PersonX praznuje novo leto da bi kričali Srečno novo leto!	entailment
Pri proporcionalnih volitvah se v občini lahko oblikujejo volilne enote, če šteje občinski svet 20 ali več članov.	Volilne enote za proporcionalne volitve v občini se oblikujejo v skladu z 20. členom tega zakona	svet se poroči za 20 let biti poročen dlje časa	enote se poroči za 20 let določeno	neutral
Trajalo je skoraj minuto, preden si je toliko opomogla, da je lahko odgovorila.	Preden si je opomogla in zbrala moči za odgovor, je potrebovala skoraj minuto tišine.	osebek je komaj naredila da skoraj ni imel dovolj časa.	PersonX traja približno eno uro da se vrnemo dol, preden se stemni.	entailment
Drugi je bil precej mlajši ter gostih črnih las, visok in vitek.	Drugi se je od prvega takoj ločil po starosti, pa tudi po izgledu mu ni bil nič podoben.	Drugi ljubi predmet več biti mlad in lep.	PersonX je videti povsem nov izgledati drugače	neutral
Malo je trčen in len, drugače pa je okej.	Včasih je nedelaven in malo čuden, ampak na sploh je pa v redu.	osebek izgubi nekaj teže So močnejši in bolj fit.	na je nervozna, vendar navdušena. vznemirjena in rahlo živčna	entailment
DRVA, mešana, kratko žagana z dostavo, prodamo.	Prodajamo drva različnih dreves, ki so kratko žagana in jih lahko tudi dostavimo.	DRVA pridobi srečen, dober, zadovoljen s prodajo	osebek kupi nekaj lesa Razrežite les na potrebno(-e) velikost(-e)	entailment
